Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2021-03-11,A Few Good Men,1992,https://boxd.it/1IswqZ,4,,,2021-03-07
2021-03-11,Kate & Leopold,2001,https://boxd.it/1Iswcj,3.5,,,2021-03-08
2021-03-11,I Care a Lot,2020,https://boxd.it/1IswnV,0.5,,,2021-03-08
2021-03-11,Schindler's List,1993,https://boxd.it/1IswjJ,4.5,,,2021-03-09
2021-03-11,Cold War,2018,https://boxd.it/1Isw6b,1,,,2021-03-10
2021-03-21,Being John Malkovich,1999,https://boxd.it/1JIixj,3,,,2021-03-12
2021-03-21,Little Women,2019,https://boxd.it/1JIiRX,4.5,,,2021-03-14
2021-03-16,The Devil All the Time,2020,https://boxd.it/1J5BnJ,4,,,2021-03-16
2021-03-21,It's Only the End of the World,2016,https://boxd.it/1JIjdz,3,,,2021-03-16
2021-03-21,21 Grams,2003,https://boxd.it/1JIhfj,4,,,2021-03-20
2021-03-24,Palm Springs,2020,https://boxd.it/1K9xC3,3.5,,,2021-03-23
2021-04-12,Time to Love,1965,https://boxd.it/1MRMIL,2.5,,,2021-04-11
2021-04-15,The Fountain,2006,https://boxd.it/1NjrHt,4,Yes,,2021-04-14
2021-05-09,Lady Bird,2017,https://boxd.it/1QD7MZ,3.5,,,2021-04-14
2021-04-30,Like Crazy,2011,https://boxd.it/1PsOMx,3.5,,,2021-04-15
2021-04-24,Like Crazy,2011,https://boxd.it/1Oylpn,3.5,,,2021-04-18
2021-04-25,Pieces of a Woman,2020,https://boxd.it/1OKmrX,3.5,,,2021-04-25
2021-04-26,The Art of Racing in the Rain,2019,https://boxd.it/1OW8vb,4,,,2021-04-26
2021-04-30,On Body and Soul,2017,https://boxd.it/1PsOpt,4,,,2021-04-30
2021-05-02,Sound of Metal,2019,https://boxd.it/1PHT5D,3.5,,,2021-05-01
2021-05-04,Amélie,2001,https://boxd.it/1Q3rDB,5,,,2021-05-03
2021-05-09,Minari,2020,https://boxd.it/1QETsv,4.5,,,2021-05-08
2021-05-11,As Good as It Gets,1997,https://boxd.it/1QZxuh,4,,,2021-05-11
2021-05-26,Love in the Afternoon,1957,https://boxd.it/1SX84H,3.5,,,2021-05-25
2021-06-03,Love in the Afternoon,1972,https://boxd.it/1U3p1B,3.5,,,2021-06-03
2021-06-30,Pain and Glory,2019,https://boxd.it/1Xu1td,3,,,2021-06-15
2021-07-13,Looper,2012,https://boxd.it/1ZqQ1f,3,,,2021-07-09
2021-07-18,Something Useful,2017,https://boxd.it/207aKN,4,,,2021-07-14
2021-07-30,Inglourious Basterds,2009,https://boxd.it/21Wpmn,3.5,,,2021-07-30
2021-08-12,Never Look Away,2018,https://boxd.it/23OD45,4,,,2021-08-11
2021-08-12,The Lovers on the Bridge,1991,https://boxd.it/23RTH9,3,,,2021-08-12
2021-08-17,Amores Perros,2000,https://boxd.it/24ylwx,4,,,2021-08-16
2021-08-20,Noah Land,2019,https://boxd.it/24ZaX7,3.5,,,2021-08-19
