Date,Name,Year,Letterboxd URI
2020-08-17,Tangerines,2013,https://boxd.it/71vM
2020-08-17,Biutiful,2010,https://boxd.it/OiI
2020-08-17,City of Angels,1998,https://boxd.it/29Bo
2020-08-17,The Sea Inside,2004,https://boxd.it/27S8
2021-04-15,The Fountain,2006,https://boxd.it/28RU
2021-04-24,Like Crazy,2011,https://boxd.it/g4s
2021-04-24,Soul,2020,https://boxd.it/ioLA
2021-04-24,Ford v Ferrari,2019,https://boxd.it/ce74
2021-04-24,One Love,2018,https://boxd.it/kPuK
2021-04-24,Dunkirk,2017,https://boxd.it/d0Y6
2021-04-24,La La Land,2016,https://boxd.it/a5fa
2021-04-24,Paterson,2016,https://boxd.it/cRk2
2021-04-24,Captain Fantastic,2016,https://boxd.it/b2K2
2021-04-24,Manchester by the Sea,2016,https://boxd.it/b2L0
2021-04-24,Demolition,2015,https://boxd.it/9GuY
2021-04-24,Before Midnight,2013,https://boxd.it/4ive
2021-04-24,The Secret Life of Walter Mitty,2013,https://boxd.it/3SWy
2021-04-24,Nightcrawler,2014,https://boxd.it/780m
2021-04-24,The Grey,2011,https://boxd.it/2xZE
2021-04-24,127 Hours,2010,https://boxd.it/SLa
2021-04-24,Shutter Island,2010,https://boxd.it/1U82
2021-04-24,Inception,2010,https://boxd.it/1skk
2021-04-24,Mr. Nobody,2009,https://boxd.it/1k44
2021-04-24,Revolutionary Road,2008,https://boxd.it/24Le
2021-04-24,Seven Pounds,2008,https://boxd.it/1U8w
2021-04-24,The Pursuit of Happyness,2006,https://boxd.it/28PE
2021-04-24,The Prestige,2006,https://boxd.it/293w
2021-04-24,Peaceful Warrior,2006,https://boxd.it/1PCw
2021-04-24,The Painted Veil,2006,https://boxd.it/1OyS
2021-04-24,Babel,2006,https://boxd.it/292o
2021-04-24,"Don't Worry, I'm Fine",2006,https://boxd.it/2908
2021-04-24,21 Grams,2003,https://boxd.it/2ajK
2021-04-24,Vanilla Sky,2001,https://boxd.it/27TK
2021-04-24,Magnolia,1999,https://boxd.it/2aze
2021-04-24,Before Sunset,2004,https://boxd.it/2bcg
2021-04-24,The Truman Show,1998,https://boxd.it/18U8
2021-04-24,The Shawshank Redemption,1994,https://boxd.it/2aHi
2021-04-24,Life Is Beautiful,1997,https://boxd.it/29Wm
2021-04-24,The Unbearable Lightness of Being,1988,https://boxd.it/1VKc
2021-04-26,The Art of Racing in the Rain,2019,https://boxd.it/iYWk
2021-05-04,Amélie,2001,https://boxd.it/2aUc
2021-05-11,As Good as It Gets,1997,https://boxd.it/268y
2021-05-11,Minari,2020,https://boxd.it/mL9M
2021-08-28,Batman Begins,2005,https://boxd.it/2aIg
2021-10-15,Moonrise Kingdom,2012,https://boxd.it/2Wng
2021-11-21,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO
2021-12-09,Rush,2013,https://boxd.it/3lyS
2021-12-12,Jerry Maguire,1996,https://boxd.it/1YNS
2022-04-02,The Royal Tenenbaums,2001,https://boxd.it/1YHU
2022-04-16,Notting Hill,1999,https://boxd.it/2aeK
2022-05-06,The Shape of Water,2017,https://boxd.it/dZ5m
2022-05-29,The Past,2013,https://boxd.it/4Ovg
2022-06-10,Godspeed,2022,https://boxd.it/AHcU
2022-08-09,A Heart in Winter,1992,https://boxd.it/Ja0
2022-08-09,A Hidden Life,2019,https://boxd.it/eb1Q
2022-11-11,Come and See,1985,https://boxd.it/1w9q
2022-11-28,Ordinary People,1980,https://boxd.it/1JTm
2023-01-01,Mare of Easttown,2021,https://boxd.it/u2h8
2023-01-02,Truly Madly Deeply,1990,https://boxd.it/1HaY
2023-03-14,The Fabelmans,2022,https://boxd.it/ugoM
2023-03-19,The Whale,2022,https://boxd.it/tw4c
2023-04-04,Taste of Cherry,1997,https://boxd.it/1m8W
2023-04-09,Close,2022,https://boxd.it/y4qa
2023-05-16,Burning Days,2022,https://boxd.it/psok
2023-07-21,Hit the Road,2021,https://boxd.it/vBVO
2023-07-22,Oppenheimer,2023,https://boxd.it/wUow
2023-11-13,Close-Up,1990,https://boxd.it/1m9q
2023-11-27,Submarine,2010,https://boxd.it/H4a
2024-01-04,Capernaum,2018,https://boxd.it/iM3s
2024-02-04,Losers' Club,2011,https://boxd.it/gxE
2024-04-29,A Man and a Woman,1966,https://boxd.it/Wb6
2025-03-03,Yuck!,2024,https://boxd.it/KjJK
2025-03-07,A Lien,2023,https://boxd.it/Gk7Y
2025-04-21,I'm Still Here,2024,https://boxd.it/BPEO
2025-04-22,My Life as a Zucchini,2016,https://boxd.it/dL2y
2025-05-26,La Haine,1995,https://boxd.it/2as8
2025-05-29,In the Mood for Love,2000,https://boxd.it/29tE
2025-07-24,Materialists,2025,https://boxd.it/GZlW
2025-12-09,A Short Film About Killing,1988,https://boxd.it/1VtK
2025-12-28,The Weeping Meadow,2004,https://boxd.it/177k
2026-01-18,A Ghost Story,2017,https://boxd.it/fb0K
2026-03-16,Little Miss Sunshine,2006,https://boxd.it/29EW
