Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-08-16,Beraber daha güzel izleniyor +4 puan oluyor otomatik,,https://boxd.it/7HEjs,

Position,Name,Year,URL,Description
1,Biutiful,2010,https://boxd.it/OiI,
2,Babel,2006,https://boxd.it/292o,
3,Gone with the Wind,1939,https://boxd.it/29Fq,
4,Titanic,1997,https://boxd.it/2a2k,
5,Paterson,2016,https://boxd.it/cRk2,
6,Before Sunrise,1995,https://boxd.it/2bcU,
7,Before Sunset,2004,https://boxd.it/2bcg,
8,Before Midnight,2013,https://boxd.it/4ive,
9,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,
10,10 Things I Hate About You,1999,https://boxd.it/23AO,
11,Atonement,2007,https://boxd.it/24ui,
12,A Hidden Life,2019,https://boxd.it/eb1Q,
13,Magnolia,1999,https://boxd.it/2aze,
14,Dogville,2003,https://boxd.it/2a8W,
15,Big Fish,2003,https://boxd.it/2a3M,
16,Mirage,2018,https://boxd.it/jeOm,
17,Revolutionary Road,2008,https://boxd.it/24Le,
18,Time of the Gypsies,1988,https://boxd.it/1E1Y,
19,The Big Lebowski,1998,https://boxd.it/2b6C,
20,Good Will Hunting,1997,https://boxd.it/2ahY,
21,The Hunt,2012,https://boxd.it/3wEC,
22,Captain Fantastic,2016,https://boxd.it/b2K2,
23,Garden State,2004,https://boxd.it/2asW,
24,Amour,2012,https://boxd.it/34Q6,
25,My King,2015,https://boxd.it/aNq2,
26,Café de Flore,2011,https://boxd.it/302Q,
27,303,2018,https://boxd.it/hNBe,
28,The Apartment,1996,https://boxd.it/1RMe,
29,Dirty Dancing,1987,https://boxd.it/2baY,
30,Manchester by the Sea,2016,https://boxd.it/b2L0,
31,Love Actually,2003,https://boxd.it/2aeU,
32,The Unbearable Lightness of Being,1988,https://boxd.it/1VKc,
33,Comidark Films: In Between,2019,https://boxd.it/nL1q,
34,Her,2013,https://boxd.it/4O24,
35,Caché,2005,https://boxd.it/2amY,
36,I Origins,2014,https://boxd.it/7aRM,
37,The Piano Teacher,2001,https://boxd.it/2886,
38,Midnight in Paris,2011,https://boxd.it/i4a,
39,The Vow,2012,https://boxd.it/2o4Y,
