Date,Name,Year,Letterboxd URI,Rating
2020-08-16,Joker,2019,https://boxd.it/h4cS,3.5
2020-08-16,Marriage Story,2019,https://boxd.it/hJAw,4.5
2020-08-16,Paterson,2016,https://boxd.it/cRk2,3.5
2020-08-16,Manchester by the Sea,2016,https://boxd.it/b2L0,4
2020-08-16,Inside Out,2015,https://boxd.it/4KHC,3.5
2020-08-16,The Wild Pear Tree,2018,https://boxd.it/eMtM,4
2020-08-16,I Origins,2014,https://boxd.it/7aRM,3.5
2020-08-16,Her,2013,https://boxd.it/4O24,4
2020-08-16,Django Unchained,2012,https://boxd.it/2cCk,4.5
2020-08-16,My Grandfather's People,2011,https://boxd.it/2Rig,3.5
2020-08-16,Black Swan,2010,https://boxd.it/Sw0,4.5
2020-08-16,3 Idiots,2009,https://boxd.it/1Dsa,4
2020-08-16,Up,2009,https://boxd.it/1OEc,4.5
2020-08-16,The Curious Case of Benjamin Button,2008,https://boxd.it/23Fk,4
2020-08-16,Slumdog Millionaire,2008,https://boxd.it/1S3E,4
2020-08-16,For Love and Honor,2007,https://boxd.it/1qAA,3.5
2020-08-16,My Father and My Son,2005,https://boxd.it/1QgQ,3.5
2020-08-16,The Notebook,2004,https://boxd.it/1UNE,4
2020-08-16,The Terminal,2004,https://boxd.it/2a2O,4
2020-08-16,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,4.5
2020-08-16,The Pianist,2002,https://boxd.it/2aqc,4
2020-08-16,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E,4
2020-08-16,The Double Life of Véronique,1991,https://boxd.it/28va,4.5
2020-08-16,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/2aeA,4.5
2020-08-16,Before Sunrise,1995,https://boxd.it/2bcU,4
2020-08-16,Toy Story,1995,https://boxd.it/29qA,4
2020-08-16,The Piano Teacher,2001,https://boxd.it/2886,3.5
2020-08-16,Ice Age,2002,https://boxd.it/2apS,4
2020-08-16,Before Sunset,2004,https://boxd.it/2bcg,4
2020-08-16,12 Angry Men,1957,https://boxd.it/2auI,4
2020-08-16,The Hunt,2012,https://boxd.it/3wEC,4.5
2020-08-16,Amour,2012,https://boxd.it/34Q6,4
2020-08-16,A Hidden Life,2019,https://boxd.it/eb1Q,4
2020-08-16,Biutiful,2010,https://boxd.it/OiI,4
2020-08-16,Babel,2006,https://boxd.it/292o,4
2020-08-16,Gone with the Wind,1939,https://boxd.it/29Fq,3.5
2020-08-16,Titanic,1997,https://boxd.it/2a2k,4
2020-08-16,Before Midnight,2013,https://boxd.it/4ive,4
2020-08-16,10 Things I Hate About You,1999,https://boxd.it/23AO,3
2020-08-16,Captain Fantastic,2016,https://boxd.it/b2K2,4
2020-08-16,Garden State,2004,https://boxd.it/2asW,4
2020-08-16,My King,2015,https://boxd.it/aNq2,4
2020-08-16,Café de Flore,2011,https://boxd.it/302Q,4
2020-08-16,303,2018,https://boxd.it/hNBe,3.5
2020-08-16,The Apartment,1996,https://boxd.it/1RMe,3
2020-08-16,Dirty Dancing,1987,https://boxd.it/2baY,3.5
2020-08-16,Love Actually,2003,https://boxd.it/2aeU,3.5
2020-08-16,The Unbearable Lightness of Being,1988,https://boxd.it/1VKc,3.5
2020-08-16,Comidark Films: In Between,2019,https://boxd.it/nL1q,3
2020-08-16,Caché,2005,https://boxd.it/2amY,3
2020-08-16,Magnolia,1999,https://boxd.it/2aze,4
2020-08-16,Dogville,2003,https://boxd.it/2a8W,4
2020-08-16,Big Fish,2003,https://boxd.it/2a3M,3
2020-08-16,Mirage,2018,https://boxd.it/jeOm,3
2020-08-16,Revolutionary Road,2008,https://boxd.it/24Le,4
2020-08-16,Time of the Gypsies,1988,https://boxd.it/1E1Y,3.5
2020-08-16,The Big Lebowski,1998,https://boxd.it/2b6C,3.5
