Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2020-08-17,Ford v Ferrari,2019,https://boxd.it/1iW1kx,4.5,,"First, it is a totally underrated movie.

Damon and Bale were great in this movie. They were very intimate and of course I think it is because Ken Miles and Caroll Shelby have got an amazing life and personality.
Music design, effects, storyline and the relation between Miles and his son was very good depicted, so I think it was not just a classic race movie. It was a movie which tells the story of an enormous race but gives us and make us feel a lot more than driving a car. ",,
2020-08-17,Rain Man,1988,https://boxd.it/1iWTdl,3.5,,"The movie is succesfull one of good movies of 80s despite its poor cinematography, bad music decision and maybe too long time even gets you bored after a point, theme and the ending of the movie makes you like that movie",,
2021-03-11,Cold War,2018,https://boxd.it/1Isw6b,1,,Waste of time,,2021-03-10
2021-03-16,The Devil All the Time,2020,https://boxd.it/1J5BnJ,4,,"7.8/10 
slow
There are some unnecessary scenes
Music is always in a high tension but I thin that would be better if they put some likely to happy dram music too",,2021-03-16
2021-03-24,Palm Springs,2020,https://boxd.it/1K9xC3,3.5,,Good for a comedy movie. Take home message I got from this movie is: Find someone you would want to get bored of living together,,2021-03-23
2021-04-24,Like Crazy,2011,https://boxd.it/1Oylpn,3.5,,"Sad, dramatic, natural. I warn you if you are having or going to have a Long Distance Relationship you should be careful because most probably this movie might increase your anxiety about visa problems.",,2021-04-18
2021-04-25,Pieces of a Woman,2020,https://boxd.it/1OKmrX,3.5,,"Bebeğinizi evde doğurmayın kamu spotu tadında film. Ama daha çok ""Que sera, sera
Whatever will be, will be
The future's not ours to see""
Tadında.

Sinemacı gözüyle bakarsak da hikaye çok daha güzel anlatılabilirdi...",,2021-04-25
2021-04-26,The Art of Racing in the Rain,2019,https://boxd.it/1OW8vb,4,,"Köpek ve yarış filmi diyip geçmeyin, boğaza düğüm atan filmler listesine girer.",,2021-04-26
2021-05-04,Amélie,2001,https://boxd.it/1Q3rDB,5,,"Harika bir filmdi ve bunu film izleme gecemizde seçen en sevdiğim kişiye çok teşekkür ederim. 

Filmin sonundaki şu sözü de sana ithaf ediyorum sevgili Nihan: 
Sensiz, bugünün duyguları, geçmişteki duyguların ölü kabuğundan başka bir şey olamaz. - Hipolito",,2021-05-03
2021-08-12,The Lovers on the Bridge,1991,https://boxd.it/23RTH9,3,,Senarist ampül alıp da yazmış sanırım,,2021-08-12
2021-08-23,Chungking Express,1994,https://boxd.it/25mV4z,3.5,,Adam olana çok bile. Güzel bir iki söz dışında gereksiz bir film,,2021-08-20
2021-10-27,Dune,2021,https://boxd.it/2eNww9,3,,"I think this movie is good for fanatics, radicals, or people who like to follow an idea and its rituals, people who love having power and being honored by other people may like this movie, but to me, this movie is a product of unnaturalness.",,2021-10-27
2021-12-18,When Harry Met Sally...,1989,https://boxd.it/2mQUv3,4.5,,"When you realise that you want to spend the rest of your life with someone, you want the rest of your life to start as soon as possible.",,2021-12-18
2022-01-21,Fantastic Mr. Fox,2009,https://boxd.it/2vfj8N,4,,At the end of the day we are all wild animals,,2022-01-21
2022-04-02,The Royal Tenenbaums,2001,https://boxd.it/2IuRDR,5,,"""Died tragically rescuing his family from the wreckage of a destroyed sinking battleship.""",,2022-04-02
2022-05-06,The Shape of Water,2017,https://boxd.it/2ODcPp,4,,"Unable to perceive the shape of you, I find you all around me",,2022-05-06
2022-11-12,Come and See,1985,https://boxd.it/3q5kRn,5,,Incredibly terrifying and unfortunately extremely realistic.,,2022-11-11
2023-01-02,Truly Madly Deeply,1990,https://boxd.it/3CSUBV,4,,"No, forgive me.
If you no longer live,
if you, beloved, my love,
if you have died,
all the leaves will fall in my breast,
it will rain on my soul night and day,
the snow will burn my heart,
I shall walk with frost and fire and death and snow,
my feet will want to walk to where you are sleeping, but
I shall stay alive",,2023-01-02
2023-02-23,Babylon,2022,https://boxd.it/3TvhUB,4.5,,"At first, I thought maybe I should give 4/5 but then I repeatedly listen to soundtracks from Justin Hurwitz. These soundtracks are amazing, more and more I felt the atmosphere of the movie",,2023-02-18
2023-03-19,The Whale,2022,https://boxd.it/408AB1,4,,"""You dont have to be angry at the whole world, you can just be angry at me""",,2023-03-19
2023-06-18,The Departed,2006,https://boxd.it/4o6vvf,4.5,Yes,Normalde 4 ama müzikler için 4.5,,2023-06-17
2023-09-14,"Two Days, One Night",2014,https://boxd.it/4QnXS3,4,,"Its a very soft, heartening movie. For me, the scene; was when on the radio a depressing song was playing and her husband muted the radio just to protect her. I think this behavior is one of the deepest picture for one to care about the significant other. ",,2023-09-14
2023-09-17,Taxi Driver,1976,https://boxd.it/4R21n9,4,,"Travis your new hair rocks
",,2023-09-16
2023-09-30,The Kid with a Bike,2011,https://boxd.it/4V1gHR,4,,Extra 0.2 point is given because its in Liege,,2023-09-30
2023-10-27,Nelly and Monsieur Arnaud,1995,https://boxd.it/53IoMN,3.5,,It's impossible to give a low rating to a movie that Emmanuel Bert stars in.,,2023-10-26
2023-11-06,Scenes from a Marriage,1974,https://boxd.it/57odoL,4,,"Bergman should be a psychologist, but it doesnt matter this couple was a fool like most of the people",,2023-11-05
2023-11-13,Close-Up,1990,https://boxd.it/59AF7b,5,,"Unique! Also consider this is a half documentary in 1990 of Iran. How can real be this beautifull! Rest in peace Sabzian. 
“They were doing anything I want because they think I am a famous person…”",,2023-11-13
2023-11-27,Last Call for Istanbul,2023,https://boxd.it/5dYjil,2,,Eğlendim kalitesiz ama iyiydi en azından şu farahın oynadığı adı lazım değil film gibi dandik değildi,,2023-11-26
2023-11-27,Submarine,2010,https://boxd.it/5dYnZ9,4.5,,"I took a photo of us, mid-embrace. When I am old and alone I will remember that I once held something truly beautiful. - Oliver Tate

Very sentimental movie! I feel you Oliver, I also have same feelings for a wonderful lady. I wish I will still hold her when I got old, and I wish I could die with her by just getting old.",,2023-11-26
2024-01-02,Tiny Beautiful Things,2023,https://boxd.it/5sMHBH,3.5,,Şu kadın ikide bi fuck youu diye bağırmasa iyiydi bi aklını başına al be you fucking shitlady,,2024-01-01
2024-01-04,Capernaum,2018,https://boxd.it/5u9Fbx,5,,"Looking at the comments I see that many people give very low ratings because of their ideology, and because they think that this movie shows those parents as bad parents, as the people responsible for the shitty life of their children. Those children are growing up without any bed, no water, no education, and no fun or no place for any child like stupid things in their lives. People say that it's actually the fault of the government, the situation in that region, poverty, etc. I agree that it certainly has an effect but none of that political situation leads poor people to have many children that they can't care of and let their girls be married for money. 
The problem is mentality; thinking that more children mean a stronger family. Thinking parents are owner of their children like a property. The problem is ideology or religious beliefs suggesting more and more children and believing God will provide more help to those families when the child is born. The problem is disregarding secular rational regulations and forcing just a 10 years old girl to marry, and the people sheiks or whatever who supports this as a tradition. 
",,2024-01-03
2024-01-13,"The Boy, the Mole, the Fox and the Horse",2022,https://boxd.it/5zIRaV,3.5,,I am glad you are all here,,2024-01-13
2024-07-27,The Killing of a Sacred Deer,2017,https://boxd.it/6XUQd3,3,,Lanthimos lantimos dedikleri bu muymuş,,2024-07-26
2024-08-05,Batman Begins,2005,https://boxd.it/71WiYf,5,,4.5,,2024-08-04
2024-12-14,A Real Pain,2024,https://boxd.it/82EKYt,4.5,,"Benji, are you Necip the my fuckin cousin. Even if we got rich as we want to be, lets not forget the things we hate now about rich people.",,2024-12-13
2024-12-20,Full Metal Jacket,1987,https://boxd.it/86hNgT,4,,"The duality of man; the Jungian thing, sir.",,2024-12-20
